Phytochemical,PlantName,PubMed Id
osthole,Cedrus deodara,24134002
paeonol,Cedrus deodara,24134002
parahydroxybenzaldehyde,Cedrus deodara,22876679
p-hydroxybenzoic acid,Cedrus deodara,22876679
shikimic acid,Cedrus deodara,20575413
stigmasterol,Cedrus deodara,22876679
syringaresinol,Cedrus deodara,22876679
rugosusine A,Celastrus rugosus,23712378
rugosusine B,Celastrus rugosus,23712378
alkaloids,Centella asiatica,22536985
11-beta-hydroxycephalotaxine beta-N-oxide,Cephalotaxus fortunei,12542368
cephalotaxine alpha-N-oxide,Cephalotaxus fortunei,12542368
cephalotaxine beta-N-oxide,Cephalotaxus fortunei,12542368
isocephalotaxine,Cephalotaxus fortunei,12542368
cephalancetine A,Cephalotaxus lanceolata,23576344
cephalancetine B,Cephalotaxus lanceolata,23576344
cephalancetine D,Cephalotaxus lanceolata,23576344
C-3-epi-wilsonione,Cephalotaxus wilsoniana,15270578
taiwanhomoflavone C,Cephalotaxus wilsoniana,15270578
beta-sitosterol,Ceriops tagal,16408813
betulin,Ceriops tagal,16408813
betulinic acid,Ceriops tagal,16408813
"ent-5alpha-dolabr-4 (18) -ene-15S,16-diol",Ceriops tagal,16408813
lup-20 (29) -en-3-on-28-oic acid,Ceriops tagal,16408813
lup-20 (29) -en-3-on-28-ol,Ceriops tagal,16408813
n-hexacosanylferulate,Ceriops tagal,16408813
squalene,Ceriops tagal,16408813
tagalsin A,Ceriops tagal,15927216
tagalsin A,Ceriops tagal,16408813
tagalsin B,Ceriops tagal,15927216
tagalsin C,Ceriops tagal,15927216
tagalsin D,Ceriops tagal,15927216
tagalsin E,Ceriops tagal,15927216
tagalsin F,Ceriops tagal,15927216
tagalsin G,Ceriops tagal,15927216
tagalsin I,Ceriops tagal,15987199
tagalsin J,Ceriops tagal,15987199
limonene,Chaerophyllum aureum,19370887
p-cymene,Chaerophyllum aureum,19370887
Sabinene,Chaerophyllum aureum,19370887
cis-beta-ocimene,Chaerophyllum macropodum,19634338
fenchyl acetate,Chaerophyllum macropodum,19634338
myristicin,Chaerophyllum macropodum,19634338
sabinene,Chaerophyllum macropodum,19634338
terpinolene,Chaerophyllum macropodum,19634338
trans-beta-ocimene,Chaerophyllum macropodum,19634338
5-hydroxy-8-methoxypsoralen,Changium smyrnioides,18589748
beta-sitosterol,Changium smyrnioides,18589748
daucosterol,Changium smyrnioides,18589748
glycerylmonopalmitate,Changium smyrnioides,18589748
lignoceric acid,Changium smyrnioides,18589748
L-pyroglutamic acid,Changium smyrnioides,18589748
stigmasterol,Changium smyrnioides,18589748
succinic acid,Changium smyrnioides,18589748
vanillic acid,Changium smyrnioides,18589748
vanillic acid-4-O-beta-D-glucopyranoside,Changium smyrnioides,18589748
(E)-p-methyl cinnamic acid,Chelonopsis albiflora,19565711
13-epi-torulosal,Chelonopsis albiflora,19565711
14-diene,Chelonopsis albiflora,19565711
19-acetoxy-13-hydroxylabada-8,Chelonopsis albiflora,19565711
1beta-hydroxylupenol,Chelonopsis albiflora,19565711
beta-sitosterol,Chelonopsis albiflora,19565711
lupenol,Chelonopsis albiflora,19565711
vanillic acid,Chelonopsis albiflora,19565711
(E)-ascaridole,Chenopodium ambrosioides,18679750
(E)-piperitol acetate,Chenopodium ambrosioides,18679750
(Z)-ascaridole,Chenopodium ambrosioides,18679750
(Z)-carvyl acetate,Chenopodium ambrosioides,18679750
alpha-pinene,Chenopodium ambrosioides,19731609
alpha-terpinene,Chenopodium ambrosioides,19731609
alpha-terpinene,Chenopodium ambrosioides,18679750
alpha-terpineol,Chenopodium ambrosioides,18679750
alpha-terpinyl acetate,Chenopodium ambrosioides,19731609
ascaridole,Chenopodium ambrosioides,19731609
benzyl alcohol,Chenopodium ambrosioides,18679750
carvacrol,Chenopodium ambrosioides,19731609
carvacrol,Chenopodium ambrosioides,18679750
limonene,Chenopodium ambrosioides,19731609
p-cimen-8-ol,Chenopodium ambrosioides,18679750
p-cresol,Chenopodium ambrosioides,18679750
p-cymene,Chenopodium ambrosioides,18679750
p-cymene,Chenopodium ambrosioides,19731609
piperitone,Chenopodium ambrosioides,18679750
"p-mentha-1,3,8-triene",Chenopodium ambrosioides,18679750
apigenin,Chrozophora sabulosa,16711424
chrysoerid,Chrozophora sabulosa,16711424
chrysoerin-7-O-beta-D-glucoside,Chrozophora sabulosa,16711424
isoquercitrin,Chrozophora sabulosa,16711424
kaempferol,Chrozophora sabulosa,16711424
quercetin,Chrozophora sabulosa,16711424
quercetin-3-O-alpha-D-arabinfuranoside,Chrozophora sabulosa,16711424
camphor,Chrysanthemum coronarium,20818927
cis-chrysanthenyl acetate,Chrysanthemum coronarium,20818927
E-?-farnesene,Chrysanthemum coronarium,20818927
germacrene D,Chrysanthemum coronarium,20818927
isobornyl acetate,Chrysanthemum coronarium,20818927
iso-italicene,Chrysanthemum coronarium,20818927
myrcene,Chrysanthemum coronarium,20818927
neoiso-3-thujanol,Chrysanthemum coronarium,20818927
perilla aldehyde,Chrysanthemum coronarium,20818927
phenylpropyl butanoate,Chrysanthemum coronarium,20818927
santolina triene,Chrysanthemum coronarium,20818927
Z-?-ocimene,Chrysanthemum coronarium,20818927
"acacetin 7-O-beta-D-(3""-acetyl) -glucopyranoside",Chrysanthemum morifolium,18536375
acacetin 7-O-beta-D-glucopyranoside,Chrysanthemum morifolium,18536375
apigenin 7-O-beta-D-glucopyranoside,Chrysanthemum morifolium,18536375
diosmetin 7-O-beta-D-glucopyranoside,Chrysanthemum morifolium,18536375
hesperetin 7-O-beta-D-glucopyranoside,Chrysanthemum morifolium,18536375
hesperidin,Chrysanthemum morifolium,18536375
linarin,Chrysanthemum morifolium,18536375
luteolin,Chrysanthemum morifolium,18536375
"luteolin 7-O-beta-D-(6""-acetyl)-glucopyranoside",Chrysanthemum morifolium,18536375
luteolin 7-O-beta-D-glucopyranoside,Chrysanthemum morifolium,18536375
quercetin,Chrysanthemum morifolium,18536375
alkaloids,Cinnamomum bejolghota,22536985
2-(4'-hydroxypyridin-3'-yl)-acetic acid,Cinnamomum philippinense,23413556
cinnaretamine,Cinnamomum philippinense,23413556
corydaldine,Cinnamomum philippinense,23413556
crykonisine,Cinnamomum philippinense,23413556
glaziovine,Cinnamomum philippinense,23413556
zenkerine,Cinnamomum philippinense,23413556
alkaloids,Cissus aralioides,21867554
coumarins,Cissus aralioides,21867554
excavatine A,Clausena excavata,23847076
excavatine B,Clausena excavata,23847076
excavatine C,Clausena excavata,23847076
1-docosanol,Clematis brevicaudata,20112713
"3,4-dihydroxy-trans coumatate ethyl ester",Clematis brevicaudata,20112713
beta-sitosterol,Clematis brevicaudata,20112713
daucosterol,Clematis brevicaudata,20112713
palmitic acid,Clematis brevicaudata,20112713
"pentacosanoic acid-2', 3'-dihydroxypropyl ester",Clematis brevicaudata,20112713
syringaresinol-O-D-glucopyranoside,Clematis brevicaudata,20112713
clematichinenoside A,Clematis chinensis,7786477
clematichinenoside B,Clematis chinensis,7786477
clematochinenosides A,Clematis chinensis,20540535
clematochinenosides B,Clematis chinensis,20540535
clematochinenosides C,Clematis chinensis,20540535
clematochinenosides D,Clematis chinensis,20540535
clematochinenosides E,Clematis chinensis,20540535
clematochinenosides F,Clematis chinensis,20540535
clematochinenosides G,Clematis chinensis,20540535
hederagenin,Clematis chinensis,7786477
oleanolic acid,Clematis chinensis,7786477
5-hydroxumethyl-5H-furan-2-one,Clematis hexapetala,17225539
anemonin,Clematis hexapetala,17225539
beta-sitosterol,Clematis hexapetala,17225539
daucosterol,Clematis hexapetala,17225539
friedelin,Clematis hexapetala,17225539
isolariciresinol,Clematis hexapetala,17225539
n-nonane,Clematis hexapetala,17225539
palmitic acid,Clematis hexapetala,17225539
vanillic acid,Clematis hexapetala,17225539
clematomandshurica saponin E,clematis mandshurica,21128147
clematomandshurica saponins A,clematis mandshurica,17125227
clematomandshurica saponins B,clematis mandshurica,17125227
clematomandshurica saponins C,clematis mandshurica,17125227
clematomandshurica saponins D,clematis mandshurica,17125227
mandshunoside A,Clematis mandshurica,22115034
mandshunoside B,Clematis mandshurica,22115034
(-) syringaresinol,Clematis parviloba,19007011
(-)episyringaresinol,Clematis parviloba,19007011
"(+) lariciresinol-4, 4'-O-bis-beta-D-glucopyranoside",Clematis parviloba,19007011
(+) lariciresinol-4'-O-beta-D-glucopyranoside,Clematis parviloba,19007011
(+) lariciresinol-4-O-beta-D-glucopyranoside,Clematis parviloba,19007011
(+) medioresinol-4'-O-beta-D-glucopyranoside,Clematis parviloba,19007011
(+) pinoresionol,Clematis parviloba,19007011
"(+) pinoresionol4, 4'-O-bis-beta-D-glucopyranoside",Clematis parviloba,19007011
(+) pinoresionol-4'-O-p-D-glucopyranoside,Clematis parviloba,19007011
(+) syringaresinol-4'-O-beta-D-glucopyranoside,Clematis parviloba,19007011
alkanoids,Cochlospermum tinctorium,21897665
isomangiferin,Coffea pseudozanguebariae,22312730
mangiferin,Coffea pseudozanguebariae,22312730
Alkaloids,Cola gigantea,22690251
14-deoxycoleon U,Coleus forskohlii,16468372
alpha-amyrin,Coleus forskohlii,16468372
alpha-cedrol,Coleus forskohlii,16468372
beta-sitosterol,Coleus forskohlii,16468372
betulic acid,Coleus forskohlii,16468372
demethylcryptojaponol,Coleus forskohlii,16468372
comastomasides A,Comastoma pedunculatum,22814820
comastomasides B,Comastoma pedunculatum,22814820
comastomasides C,Comastoma pedunculatum,22814820
comastomasides D,Comastoma pedunculatum,22814820
comastomasides E,Comastoma pedunculatum,22814820
"1 -hydroxy-3,7-dimethoxyxanthone",Comastoma pedunlulatum,20815211
"1,2,6,8-tetrahydroxyxanthone",Comastoma pedunlulatum,20815211
"1,3,7-trihydroxy4- methoxyxanthone",Comastoma pedunlulatum,20815211
"1,6,8-trihydroxy-2-methoxyxanthone",Comastoma pedunlulatum,20815211
"1,8-dihydroxy-2,6-dimethoxyxanthone",Comastoma pedunlulatum,20815211
"1,8-dihydroxy-3,5-dimethoxyxanthone",Comastoma pedunlulatum,20815211
"1-hydroxy-3,5,8-trimethoxyxanthone",Comastoma pedunlulatum,20815211
"6,8-dihydroxy-1, 2-dimethoxyxanthone",Comastoma pedunlulatum,20815211
"8-hydroxy-1,2,6-trimethoxyxanthone",Comastoma pedunlulatum,20815211
ajaconine,Consolida oliveriana,8864243
consolidine,Consolida oliveriana,8864243
delsoline,Consolida oliveriana,8864243
gigactonine,Consolida oliveriana,8864243
pubescenine,Consolida oliveriana,8864243
14-demethyltuguaconitine,Consolida orientalis,12141879
18-demethylpubescenine,Consolida orientalis,12141879
delcosine,Consolida orientalis,12141879
gigactonine,Consolida orientalis,12141879
takaosamine,Consolida orientalis,12141879
willipelletierine,Consolida scleroclada,12611281
astragalin,Conyza filaginoides,11374974
"beta-caryophyllene-4,5-alpha-oxide",Conyza filaginoides,11374974
erythrodiol,Conyza filaginoides,11374974
isoquercitrin,Conyza filaginoides,11374974
isorhamnetin 3-O-(6' '-O-E-caffeoyl)-beta-D-galactopyranoside,Conyza filaginoides,11374974
kaempferol 3-O-(6' '-O-E-caffeoyl)-beta-D-galactopyranoside,Conyza filaginoides,11374974
narcissin,Conyza filaginoides,11374974
nicotiflorin,Conyza filaginoides,11374974
quercetin 3-O-(6' '-O-E-caffeoyl)-beta-D-glucopyranoside,Conyza filaginoides,11374974
rutin,Conyza filaginoides,11374974
"1-(3'-methoxypropanoyl)-2,4,5-trimethoxybenzene",Cordia alliodora,10757739
"2-(2Z)-(3-hydroxy-3,7-dimethylocta-2, 6-dienyl)-1,4-benzenediol",Cordia alliodora,10757739
cordiaquinone A,Cordia curassavica,10724189
cordiaquinone B,Cordia curassavica,10724189
cordiaquinone J,Cordia curassavica,10724189
cordiaquinone K,Cordia curassavica,10724189
cordiaquinones J,Cordia curassavica,10724189
cordiaquinones K,Cordia curassavica,10724189
cordiachrome A,Cordia globifera,19368377
cordiachrome B,Cordia globifera,19368377
cordiachrome C,Cordia globifera,19368377
cordiaquinol C,Cordia globifera,19368377
globiferin,Cordia globifera,19368377
cordiaquinone B,Cordia linnaei,9542168
alpha-terpinene,Coridothymus capitatus,14577632
alpha-thujene,Coridothymus capitatus,14577632
beta-myrcene,Coridothymus capitatus,14577632
carvacrol,Coridothymus capitatus,14577632
gamma-terpinene,Coridothymus capitatus,14577632
p-cymene,Coridothymus capitatus,14577632
thymol,Coridothymus capitatus,14577632
13-methyl-columbamine,Corydalis yanhusuo,22737858
13-methyl-palmatrubine,Corydalis yanhusuo,22737858
8-oxocoptisine,Corydalis yanhusuo,22737858
columbamine,Corydalis yanhusuo,22737858
coptisine,Corydalis yanhusuo,22737858
corydaline,Corydalis yanhusuo,22737858
dehydrocorybulbine,Corydalis yanhusuo,22737858
dehydrocorydaline,Corydalis yanhusuo,22737858
glaucine,Corydalis yanhusuo,22737858
herberine,Corydalis yanhusuo,22737858
noroxyhydrastine,Corydalis yanhusuo,22737858
oxoglaucine,Corydalis yanhusuo,22737858
palmatine,Corydalis yanhusuo,22737858
protopine,Corydalis yanhusuo,22737858
stepharanine,Corydalis yanhusuo,22737858
tetrahydroberberine,Corydalis yanhusuo,22737858
tetrahydrocolumbamine,Corydalis yanhusuo,22737858
tetrahydrocoptisine,Corydalis yanhusuo,22737858
tetrahydrocorysamine,Corydalis yanhusuo,22737858
tetrahydropalmatine,Corydalis yanhusuo,22737858
"6""-O-acetyl-vitexin",Crataegus pinnatifida Bge. var major N. E. Br,17228656
beta-daucosterol,Crataegus pinnatifida Bge. var major N. E. Br,17228656
beta-sitosterol,Crataegus pinnatifida Bge. var major N. E. Br,17228656
chlorogenic acid,Crataegus pinnatifida Bge. var major N. E. Br,17228656
hyperoside,Crataegus pinnatifida Bge. var major N. E. Br,17228656
n-triacontanol,Crataegus pinnatifida Bge. var major N. E. Br,17228656
quercetin,Crataegus pinnatifida Bge. var major N. E. Br,17228656
quercetin 3-O-[alpha-L-rhamnopyranosyl(1-4)-alpha-L-rhamnopyranosyl-(1-6)-beta-glucopyranoside],Crataegus pinnatifida Bge. var major N. E. Br,17228656
quercetin 3-O-beta-D-glucoside,Crataegus pinnatifida Bge. var major N. E. Br,17228656
rutin,Crataegus pinnatifida Bge. var major N. E. Br,17228656
ursolic acid,Crataegus pinnatifida Bge. var major N. E. Br,17228656
vitexin,Crataegus pinnatifida Bge. var major N. E. Br,17228656
"vitexin 2""-O-rhamnoside",Crataegus pinnatifida Bge. var major N. E. Br,17228656
"vitexin 4""-O-glucoside",Crataegus pinnatifida Bge. var major N. E. Br,17228656
daucosterol,Crataegus scabrifolia,11601353
hyperoside,Crataegus scabrifolia,11601353
nonacosanol,Crataegus scabrifolia,11601353
rutin,Crataegus scabrifolia,11601353
ursolic acid,Crataegus scabrifolia,11601353
vitexin,Crataegus scabrifolia,11601353
"1,3,7-trihydroxy-2,4-di(3-methylbut-2-enyl)xanthone",Cratoxylum cochinchinense,16651783
"1,4-dimethoxy-2,7-dihydroxyxanthone",Cratoxylum cochinchinense,22865675
"1-methoxy-3,7,8-trihydroxyxanthone",Cratoxylum cochinchinense,22865675
"1-methoxy-4,7,8-trihydroxyxanthone",Cratoxylum cochinchinense,22865675
"1-methoxy-4,7-dihydroxyxanthone",Cratoxylum cochinchinense,22865675
"2-geranyl-1,3,7-trihydroxy-4-(3-methylbut-2-enyl)xanthone",Cratoxylum cochinchinense,17393660
5-O-methylcelebixanthone,Cratoxylum cochinchinense,16651783
"6-hydroxy-3,7-dimethoxy-8-(2-oxo-3-methylbut-3-enyl)-6',6'-dimethyl-5'-hydroxy-4',5'-dihydropyrano(2',3':1,2)xanthone",Cratoxylum cochinchinense,19431011
"6-hydroxy-3,7-dimethoxy-8-(3-methylbut-2-enyl)-6',6'-dimethyl-5'-hydroxy-4',5'-dihydropyrano(2',3':1,2)xanthone",Cratoxylum cochinchinense,19431011
alpha-mangostin,Cratoxylum cochinchinense,16651783
alpha-mangostin,Cratoxylum cochinchinense,17393660
beta-mangostin,Cratoxylum cochinchinense,17393660
beta-mangostin,Cratoxylum cochinchinense,16651783
celebixanthone,Cratoxylum cochinchinense,16651783
cochinchinone A,Cratoxylum cochinchinense,16651783
cochinchinone C,Cratoxylum cochinchinense,16310231
cochinchinone C,Cratoxylum cochinchinense,16651783
cochinchinone D,Cratoxylum cochinchinense,16310231
cochinchinones A,Cratoxylum cochinchinense,16310231
cochinchinones B,Cratoxylum cochinchinense,16310231
cratoxylumxanthone A,Cratoxylum cochinchinense,17393660
cratoxylumxanthones B,Cratoxylum cochinchinense,20570298
cratoxylumxanthones C,Cratoxylum cochinchinense,20570298
cratoxylumxanthones D,Cratoxylum cochinchinense,20570298
dulcisxanthone B,Cratoxylum cochinchinense,17393660
tectochrystin,Cratoxylum cochinchinense,17393660
pruniflorone K,Cratoxylum formosum,20190446
pruniflorone L,Cratoxylum formosum,20190446
pruniflorone M,Cratoxylum formosum,20608716
pruniflorone N,Cratoxylum formosum,20608716
pruniflorone O,Cratoxylum formosum,20608716
pruniflorone P,Cratoxylum formosum,20608716
pruniflorone Q,Cratoxylum formosum,20608716
pruniflorone R,Cratoxylum formosum,20608716
pruniflorone S,Cratoxylum formosum ssp. Pruniflorum,21297304
prunifloroside A,Cratoxylum formosum ssp. Pruniflorum,21297304
prunifloroside B,Cratoxylum formosum ssp. Pruniflorum,21297304
prunifloroside C,Cratoxylum formosum ssp. Pruniflorum,21297304
"3,5-dicaffeoylquinic acid",Cressa cretica,22228956
cressanaphthacenone,Cressa cretica,22228956
cressatetracosanoate,Cressa cretica,22228956
cressatetratriacontanoic acid,Cressa cretica,22228956
cressatriacontanone,Cressa cretica,22228956
creticane,Cressa cretica,22228956
kampferol-3-O-glucoside,Cressa cretica,22228956
quercetin,Cressa cretica,22228956
quercetin-3-O-glucoside,Cressa cretica,22228956
rutin,Cressa cretica,22228956
scopoletin,Cressa cretica,22228956
syringaresinol-h-d-glucoside,Cressa cretica,22228956
11-hydroxyvittatine,Crinum bulbispermum,15587597
2-deoxylycorine,Crinum bulbispermum,15587597
8-hydroxylycorin-7-one,Crinum bulbispermum,15587597
hippamine,Crinum bulbispermum,15587597
vittatine,Crinum bulbispermum,15587597
citroside A,Croton cascarilloides Räuschel,21055781
crotonionoside A,Croton cascarilloides Räuschel,21055781
crotonionoside B,Croton cascarilloides Räuschel,21055781
crotonionoside C,Croton cascarilloides Räuschel,21055781
crotonionoside D,Croton cascarilloides Räuschel,21055781
crotonionoside E,Croton cascarilloides Räuschel,21055781
crotonionoside F,Croton cascarilloides Räuschel,21055781
crotonionoside G,Croton cascarilloides Räuschel,21055781
dendranthemoside A,Croton cascarilloides Räuschel,21055781
dendranthemoside B,Croton cascarilloides Räuschel,21055781
eluterin A,Croton eluteria Bennet,12188619
eluterin B,Croton eluteria Bennet,12188619
eluterin C,Croton eluteria Bennet,12188619
eluterin D,Croton eluteria Bennet,12188619
eluterin E,Croton eluteria Bennet,12188619
eluterin F,Croton eluteria Bennet,12188619
eluterin G,Croton eluteria Bennet,12188619
eluterin H,Croton eluteria Bennet,12188619
eluterin I,Croton eluteria Bennet,12188619
eluterin J,Croton eluteria Bennet,12188619
cudraflavanone B,Cudrania cochinchinensis,12932139
cudraxanthone S,Cudrania cochinchinensis,12932139
toxyloxanthone C,Cudrania cochinchinensis,12932139
wighteone,Cudrania cochinchinensis,12932139
"1,3,5-trihydroxy-4-(3-hydroxy-3-methylbutyl)xanthone",Cudrania fruticosa Wight,17613626
"1,3-dihydroxy-6,7-dimethoxyxanthone",Cudrania fruticosa Wight,17613626
"1,6,7-trihydroxy-2-(1,1-dimethyl-2-propenyl)-3-methoxyxanthone",Cudrania fruticosa Wight,17613626
"3,5,6-trihydroxy-1-methoxyxanthone",Cudrania fruticosa Wight,17613626
"3,6,7-trihydroxy-1-methoxyxanthone",Cudrania fruticosa Wight,17613626
2-caren-10-al,Cuminum cyminum,20488223
beta-pinene,Cuminum cyminum,20488223
cuminlaldehyde,Cuminum cyminum,20488223
gamma-terpinene,Cuminum cyminum,20488223
myrtenal,Cuminum cyminum,20488223
O-cymene,Cuminum cyminum,20488223
trans-carveol,Cuminum cyminum,20488223
"(7S,8S)-3-methoxy-3',7-epoxy-8,4'-oxy-neoligna-4,9,9'-triol",Cupressus duolouxiana,17918437
avicularin,Cupressus duolouxiana,17918437
juglanin,Cupressus duolouxiana,17918437
kaempferol,Cupressus duolouxiana,17918437
quercetin,Cupressus duolouxiana,17918437
quercetin-3'-methoxy-3-O-alpha-L-arabinofuranoside,Cupressus duolouxiana,17918437
alkaloids,Curcuma longa,22536985
alkaloids,Curcuma zedoaria,22536985
Alkaloides,Cussonia barteri,20161918
kaempferol,Cyclocarya paliums,16568659
kaempferol-4'-methoxyl-7-O-beta-D-mancopyranosyl,Cyclocarya paliums,16568659
kaempferol-7-O-alpha-L-rhamnopyranosyl,Cyclocarya paliums,16568659
quercetin,Cyclocarya paliums,16568659
cyclocaric acid B,Cyclocarya paliurus,12774356
daucosterol,Cyclocarya paliurus,12774356
ellagic acid,Cyclocarya paliurus,12774356
isoquercitrin,Cyclocarya paliurus,12774356
kaempferol,Cyclocarya paliurus,12774356
quercetin,Cyclocarya paliurus,12774356
marylaurecinoside B,Cymbidium Great Flower Marie Laurencin,22427197
marylaurecinoside C,Cymbidium Great Flower Marie Laurencin,22427197
"2, 4-dihyroxyacetophenone",Cynanchum atratum,18051900
"2, 6-dihyroxyacetophenone",Cynanchum atratum,18051900
4-hydroxybenzenemethanol,Cynanchum atratum,18051900
benzoic acid,Cynanchum atratum,18051900
beta-amyrin acetate,Cynanchum atratum,18051900
beta-daucosterol,Cynanchum atratum,18051900
beta-sitosterol,Cynanchum atratum,18051900
glaucogenin C-3-O-alpha-D-oleandropyranosyl-(1 --> 4)-beta-D-digitoxopyranosyl-(1 -->4)-alpha-D-oleandropyranoside,Cynanchum atratum,18051900
palmitic acid,Cynanchum atratum,18051900
(+)-5'-methoxyisolariciresinol 3a-O-beta-D-glucopyranoside,Cynanchum forrestii,17552154
beta-sitosterol,Cynanchum forrestii,17552154
daucosterol,Cynanchum forrestii,17552154
hexahydroxycholest-7-en-6-one,Cynanchum forrestii,17552154
nonanedioic acid,Cynanchum forrestii,17552154
palmitic acid,Cynanchum forrestii,17552154
sucrose,Cynanchum forrestii,17552154
tylophorinidine,Cynanchum forrestii,17552154
caldaphnidine G,Daphniphyllum calycinum,18811206
caldaphnidine H,Daphniphyllum calycinum,18811206
caldaphnidine I,Daphniphyllum calycinum,18811206
caldaphnidine J,Daphniphyllum calycinum,18811206
caldaphnidine K,Daphniphyllum calycinum,18811206
caldaphnidine L,Daphniphyllum calycinum,18811206
caldaphnidine M,Daphniphyllum calycinum,18811206
caldaphnidine N,Daphniphyllum calycinum,18811206
caldaphnidine O,Daphniphyllum calycinum,18811206
caldaphnidine P,Daphniphyllum calycinum,18811206
caldaphnidine Q,Daphniphyllum calycinum,18811206
caldaphnidine R,Daphniphyllum calycinum,18811206
calyciphylline A,Daphniphyllum calycinum,12889902
calyciphylline B,Daphniphyllum calycinum,12889902
calyciphylline N,Daphniphyllum calycinum,19099464
calyciphylline O,Daphniphyllum calycinum,19099464
calyciphylline P,Daphniphyllum calycinum,19099464
daphnezomine T,Daphniphyllum humile,19420783
daphnezomine U,Daphniphyllum humile,19420783
daphnezomine V,Daphniphyllum humile,19420783
daphlongamine A,Daphniphyllum longeracemosum,18553922
daphlongamine B,Daphniphyllum longeracemosum,18553922
daphlongamine C,Daphniphyllum longeracemosum,18553922
daphlongamine D,Daphniphyllum longeracemosum,18553922
daphnicyclidin D,Daphniphyllum longeracemosum,16441073
daphnilongeranin A,Daphniphyllum longeracemosum,16441073
daphnilongeranin B,Daphniphyllum longeracemosum,16441073
daphnilongeranin C,Daphniphyllum longeracemosum,16441073
daphnilongeranin D,Daphniphyllum longeracemosum,16441073
daphniphylline,Daphniphyllum longeracemosum,16441073
deoxyisocalyciphylline B,Daphniphyllum longeracemosum,16441073
longistylumphylline A,Daphniphyllum longeracemosum,16441073
calyciphylline Q,Daphniphyllum macropodum,24619303
calyciphylline R,Daphniphyllum macropodum,24619303
calyciphylline S,Daphniphyllum macropodum,24619303
daphmacromine A,Daphniphyllum macropodum,22642560
daphmacromine B,Daphniphyllum macropodum,22642560
daphmacromine C,Daphniphyllum macropodum,22642560
daphmacromine D,Daphniphyllum macropodum,22642560
daphmacromine E,Daphniphyllum macropodum,22642560
daphmacromine F,Daphniphyllum macropodum,22642560
daphmacromine G,Daphniphyllum macropodum,22642560
daphmacromine H,Daphniphyllum macropodum,22642560
daphmacromine I,Daphniphyllum macropodum,22642560
daphmacromine J,Daphniphyllum macropodum,22642560
daphmacromine K,Daphniphyllum macropodum,23756191
daphmacromine L,Daphniphyllum macropodum,23756191
daphmacromine M,Daphniphyllum macropodum,23756191
daphmacromine N,Daphniphyllum macropodum,23756191
daphmacromine O,Daphniphyllum macropodum,23756191
daphnicyclidin A,Daphniphyllum macropodum,24619303
daphnicyclidin M,Daphniphyllum macropodum,24619303
daphnicyclidin N,Daphniphyllum macropodum,24619303
macropodumine B,Daphniphyllum macropodum,24619303
macropodumine C,Daphniphyllum macropodum,24619303
paxiphylline C,Daphniphyllum macropodum,24619303
daphnioldhanine H,Daphniphyllum oldhami,18288811
daphnioldhanine I,Daphniphyllum oldhami,18288811
daphnioldhanine J,Daphniphyllum oldhami,18288811
daphnioldhanine K,Daphniphyllum oldhami,18288811
dapholdhamine A,Daphniphyllum oldhami,19441852
dapholdhamine B,Daphniphyllum oldhami,19441852
dapholdhamine C,Daphniphyllum oldhami,19441852
dapholdhamine D,Daphniphyllum oldhami,19441852
daphnipaxianine A,Daphniphyllum paxianum,17887722
daphnipaxianine B,Daphniphyllum paxianum,17887722
daphnipaxianine C,Daphniphyllum paxianum,17887722
daphnipaxianine D,Daphniphyllum paxianum,17887722
11-hydroxycodaphniphylline,Daphniphyllum subverticillatum,19739650
17-hydroxydaphnigraciline,Daphniphyllum subverticillatum,19739650
daphnezomine L methyl ester,Daphniphyllum subverticillatum,19739650
Daphnilongeridine,Daphniphyllum subverticillatum,19739650
subdaphnidine A,Daphniphyllum subverticillatum,19739650
calycinine A,Daphniphyllum yunnanense,17190453
daphniyunnine A,Daphniphyllum yunnanense,16643024
daphniyunnine B,Daphniphyllum yunnanense,16643024
daphniyunnine C,Daphniphyllum yunnanense,16643024
daphniyunnine D,Daphniphyllum yunnanense,16643024
daphniyunnine E,Daphniphyllum yunnanense,16643024
macrodaphniphyllamine,Daphniphyllum yunnanense,17190453
yunnandaphnine A,Daphniphyllum yunnanense,17190453
yunnandaphnine B,Daphniphyllum yunnanense,17190453
yunnandaphnine C,Daphniphyllum yunnanense,17190453
yunnandaphnine D,Daphniphyllum yunnanense,17190453
yunnandaphnine E,Daphniphyllum yunnanense,17190453
"1,4-dihydroxy-3-methoxy-phenyl-4-O-beta-D-glucopyranoside",Davidia involucrata,18415854
"3,4-dimethoxyphenyl-O-beta-D-gluco-pyranoside",Davidia involucrata,18415854
4-hydroxy-3-methoxybenzoic acid,Davidia involucrata,18415854
caffeic acid,Davidia involucrata,18415852
chlorogenic acid,Davidia involucrata,18415852
davidioside A,Davidia involucrata,17885833
davidioside B,Davidia involucrata,17885833
davidiosides A,Davidia involucrata,18415852
davidiosides B,Davidia involucrata,18415852
davidiosides C,Davidia involucrata,18415852
involcranoside A,Davidia involucrata,18415854
involcranoside B,Davidia involucrata,18415854
leonuriside A,Davidia involucrata,18415854
methyl caffeate,Davidia involucrata,18415852
methyl chlorogenate,Davidia involucrata,18415852
picein,Davidia involucrata,18415854
14-acetylperegrine,Delphinium davisii,8699181
18-benzoyldavisinol,Delphinium davisii,8699181
6-deacetylperegrine,Delphinium davisii,8699181
Davisin,Delphinium davisii,8699181
