"","FOUND_BY","PREFERRED_NAME","INCHIKEY","SMILES","INCHI_STRING","MOLECULAR_FORMULA","MONOISOTOPIC_MASS","MS_READY_SMILES","QSAR_READY_SMILES","BIOCONCENTRATION_FACTOR_TEST_PRED","BOILING_POINT_DEGC_TEST_PRED","X48HR_DAPHNIA_LC50_MOL.L_TEST_PRED","DENSITY_G.CM.3_TEST_PRED","DEVTOX_TEST_PRED","X96HR_FATHEAD_MINNOW_MOL.L_TEST_PRED","FLASH_POINT_DEGC_TEST_PRED","MELTING_POINT_DEGC_TEST_PRED","AMES_MUTAGENICITY_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","SURFACE_TENSION_DYN.CM_TEST_PRED","THERMAL_CONDUCTIVITY_MW..M.K._TEST_PRED","TETRAHYMENA_PYRIFORMIS_IGC50_MOL.L_TEST_PRED","VISCOSITY_CP_CP_TEST_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","WATER_SOLUBILITY_MOL.L_TEST_PRED","ATMOSPHERIC_HYDROXYLATION_RATE_.AOH._CM3.MOLECULE.SEC_OPERA_PRED","BIOCONCENTRATION_FACTOR_OPERA_PRED","BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED","BOILING_POINT_DEGC_OPERA_PRED","HENRYS_LAW_ATM.M3.MOLE_OPERA_PRED","OPERA_KM_DAYS_OPERA_PRED","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","SOIL_ADSORPTION_COEFFICIENT_KOC_L.KG_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","MELTING_POINT_DEGC_OPERA_PRED","VAPOR_PRESSURE_MMHG_OPERA_PRED","WATER_SOLUBILITY_MOL.L_OPERA_PRED","atom_stereo_count","bond_stereo_count","canonical_smiles","charge","cid","complexity","covalent_unit_count","defined_atom_stereo_count","defined_bond_stereo_count","exact_mass","h_bond_acceptor_count","h_bond_donor_count","heavy_atom_count","inchi","isomeric_smiles","iupac_name","molecular_formula","molecular_weight","monoisotopic_mass","rotatable_bond_count","tpsa","undefined_atom_stereo_count","undefined_bond_stereo_count","xlogp"
"1101","InChIKey","2-Methoxy-4-vinylphenol","YOMSJEATGXXYPX-UHFFFAOYSA-N","COC1=C(O)C=CC(C=C)=C1","InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3","C9H10O2","150.0680796","COC1=C(O)C=CC(C=C)=C1","COC1=C(O)C=CC(C=C)=C1","16.0694","247.616","4.75335E-05","1.069","0.751","2.37137E-05","98.079","40.796","0.245","0.00909913","38.376","-","0.000470977","4.43609","0.00841395","0.0184502","5.32168E-11","9.4758","3.49066","264.68","2.95267E-07","0.0978565","7.72838","1010.08","2.22529","6.35977","0.00696206","0.0103666",0,0,"COC1=C(C=CC(=C1)C=C)O",0,332,134,1,0,0,150.068079562,2,1,11,"InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3","COC1=C(C=CC(=C1)C=C)O","4-ethenyl-2-methoxyphenol","C9H10O2",150.17,150.068079562,2,29.5,0,0,2.4
"1112","InChIKey","Lariciresinol","MHXCIKYXNYCMHY-AUSJPIAWSA-N","COC1=C(O)C=CC(C[C@H]2CO[C@@H]([C@H]2CO)C2=CC(OC)=C(O)C=C2)=C1","InChI=1S/C20H24O6/c1-24-18-8-12(3-5-16(18)22)7-14-11-26-20(15(14)10-21)13-4-6-17(23)19(9-13)25-2/h3-6,8-9,14-15,20-23H,7,10-11H2,1-2H3/t14-,15-,20+/m0/s1","C20H24O6","360.1572885","COC1=C(O)C=CC(CC2COC(C2CO)C2=CC(OC)=C(O)C=C2)=C1","COC1=C(O)C=CC(CC2COC(C2CO)C2=CC(OC)=C(O)C=C2)=C1","18.0302","434.71","1.14551E-05","1.361","0.852","1.26183E-06","250.148","171.184","-0.029","0.00391742","-","160.464","1.48594E-05","99.77","3.83707E-09","0.000419759","1.68255E-11","27.7583","7.35055","401.108","8.0954E-10","0.19464","9.31671","1653.83","2.43079","252.658","2.22394E-10","0.00196334",3,0,"COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)O)OC)O",0,332427,433,1,3,0,360.15728849,6,3,26,"InChI=1S/C20H24O6/c1-24-18-8-12(3-5-16(18)22)7-14-11-26-20(15(14)10-21)13-4-6-17(23)19(9-13)25-2/h3-6,8-9,14-15,20-23H,7,10-11H2,1-2H3/t14-,15-,20+/m0/s1","COC1=C(C=CC(=C1)C[C@H]2CO[C@@H]([C@H]2CO)C3=CC(=C(C=C3)O)OC)O","4-[[(3R,4R,5S)-5-(4-hydroxy-3-methoxyphenyl)-4-(hydroxymethyl)oxolan-3-yl]methyl]-2-methoxyphenol","C20H24O6",360.4,360.15728849,6,88.4,0,0,2.4
"1116","InChIKey","4-Hydroxyacetophenone","TXFPEBPIARQUIG-UHFFFAOYSA-N","CC(=O)C1=CC=C(O)C=C1","InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3","C8H8O2","136.0524295","CC(=O)C1=CC=C(O)C=C1","CC(=O)C1=CC=C(O)C=C1","4.43609","244.024","9.24698E-05","1.176","0.427","0.000260615","102.496","90.505","0.105","0.0077983","40.167","151.682","0.000765597","7.31139","0.0199526","0.0360579","3.63797E-12","7.19455","3.72115","287.026","1.98902E-09","0.159669","7.78065","53.6562","1.35151","109.449","0.00032368","0.0731599",0,0,"CC(=O)C1=CC=C(C=C1)O",0,7469,123,1,0,0,136.052429497,2,1,10,"InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3","CC(=O)C1=CC=C(C=C1)O","1-(4-hydroxyphenyl)ethanone","C8H8O2",136.15,136.052429497,1,37.3,0,0,1.4
"1208","InChIKey","(+)-Vomifoliol","KPQMCAKZRXOZLB-KOIHBYQTSA-N","C[C@@H](O)\C=C\[C@@]1(O)C(C)=CC(=O)CC1(C)C","InChI=1S/C13H20O3/c1-9-7-11(15)8-12(3,4)13(9,16)6-5-10(2)14/h5-7,10,14,16H,8H2,1-4H3/b6-5+/t10-,13-/m1/s1","C13H20O3","224.1412445","CC(O)C=CC1(O)C(C)=CC(=O)CC1(C)C","CC(O)C=CC1(O)C(C)=CC(=O)CC1(C)C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.19759E-10","1.45198","4.29012","299.169","6.27857E-10","0.146277","8.13445","97.8003","1.07017","143.742","8.25358E-06","0.0319389",2,1,"CC1=CC(=O)CC(C1(C=CC(C)O)O)(C)C",0,5280462,352,1,2,1,224.1412445,3,2,16,"InChI=1S/C13H20O3/c1-9-7-11(15)8-12(3,4)13(9,16)6-5-10(2)14/h5-7,10,14,16H,8H2,1-4H3/b6-5+/t10-,13-/m1/s1","CC1=CC(=O)CC([C@]1(/C=C/[C@@H](C)O)O)(C)C","(4S)-4-hydroxy-4-[(E,3R)-3-hydroxybut-1-enyl]-3,5,5-trimethylcyclohex-2-en-1-one","C13H20O3",224.3,224.1412445,2,57.5,0,0,0.5
"1210","InChIKey","3-Hydroxybenzoic acid","IJFXRHURBJZNAO-UHFFFAOYSA-N","OC(=O)C1=CC(O)=CC=C1","InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)","C7H6O3","138.0316941","OC(=O)C1=CC(O)=CC=C1","OC(=O)C1=CC(O)=CC=C1","1.58855","276.644","0.000683912","1.402","0.575","0.000648634","168.964","165.069","0.202","0.00914113","-","-","0.00451856","-","3.36512E-05","0.0571479","3.64655E-12","4.83889","3.56226","257.781","1.1875E-08","0.100775","8.07562","37.4351","1.50201","201.803","2.39912E-06","0.0528782",0,0,"C1=CC(=CC(=C1)O)C(=O)O",0,7420,133,1,0,0,138.031694052,3,2,10,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)","C1=CC(=CC(=C1)O)C(=O)O","3-hydroxybenzoic acid","C7H6O3",138.12,138.031694052,1,57.5,0,0,1.5
"1211","InChIKey","Syringin","QJVXKWHHAMZTBY-GCPOEHJPSA-N","COC1=CC(\C=C\CO)=CC(OC)=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","InChI=1S/C17H24O9/c1-23-10-6-9(4-3-5-18)7-11(24-2)16(10)26-17-15(22)14(21)13(20)12(8-19)25-17/h3-4,6-7,12-15,17-22H,5,8H2,1-2H3/b4-3+/t12-,13-,14+,15-,17+/m1/s1","C17H24O9","372.1420324","COC1=CC(C=CCO)=CC(OC)=C1OC1OC(CO)C(O)C(O)C1O","COC1=CC(C=CCO)=CC(OC)=C1OC1OC(CO)C(O)C(O)C1O","1.41906","469.618","0.00141579","1.567","0.389","0.000058479","317.958","177.789","0.066","0.0141579","-","-","0.000717794","32.434","1.53815E-10","0.0277971","2.88789E-11","1.86562","3.53781","373.804","1.60462E-11","0.14349","9.47909","45.8787","-0.680637","190.067","1.38571E-08","0.0376079",5,1,"COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CCO",0,5316860,432,1,5,1,372.14203235,9,5,26,"InChI=1S/C17H24O9/c1-23-10-6-9(4-3-5-18)7-11(24-2)16(10)26-17-15(22)14(21)13(20)12(8-19)25-17/h3-4,6-7,12-15,17-22H,5,8H2,1-2H3/b4-3+/t12-,13-,14+,15-,17+/m1/s1","COC1=CC(=CC(=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)/C=C/CO","(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[4-[(E)-3-hydroxyprop-1-enyl]-2,6-dimethoxyphenoxy]oxane-3,4,5-triol","C17H24O9",372.4,372.14203235,7,138,0,0,-1.3
"1214","InChIKey","Levomenol","RGZSQWQPBWRIAQ-CABCVRRESA-N","CC(C)=CCC[C@](C)(O)[C@H]1CCC(C)=CC1","InChI=1S/C15H26O/c1-12(2)6-5-11-15(4,16)14-9-7-13(3)8-10-14/h6-7,14,16H,5,8-11H2,1-4H3/t14-,15+/m1/s1","C15H26O","222.1983655","CC(C)=CCCC(C)(O)C1CCC(C)=CC1","CC(C)=CCCC(C)(O)C1CCC(C)=CC1","174.582","272.522","4.0738E-06","0.9","0.529","4.62381E-06","124.106","77.4","0.355","0.0151705","29.306","135.411","1.81134E-05","9.72747","0.000731139","8.72971E-05","1.62843E-10","107.081","3.77753","279.859","9.86668E-07","2.76559","8.92669","228.19","4.72117","76.3925","0.00736671","0.0018649",2,0,"CC1=CCC(CC1)C(C)(CCC=C(C)C)O",0,442343,284,1,2,0,222.19836546,1,1,16,"InChI=1S/C15H26O/c1-12(2)6-5-11-15(4,16)14-9-7-13(3)8-10-14/h6-7,14,16H,5,8-11H2,1-4H3/t14-,15+/m1/s1","CC1=CC[C@H](CC1)[C@](C)(CCC=C(C)C)O","(2S)-6-methyl-2-[(1S)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol","C15H26O",222.37,222.19836546,4,20.2,0,0,3.8
"1216","InChIKey","alpha-Humalene","FAMPSKZZVDUYOS-HRGUGZIWSA-N","C\C1=C/CC(C)(C)\C=C\C\C(C)=C\CC1","InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3/b11-6+,13-7+,14-10+","C15H24","204.1878008","CC1=CCC(C)(C)C=CCC(C)=CCC1","CC1=CCC(C)(C)C=CCC(C)=CCC1","1244.51","257.272","1.05196E-06","0.838","0.903","1.77419E-06","82.716","-23.484","-","0.0245471","26.586","118.885","6.95024E-06","4.08319","0.0731139","2.02768E-05","2.89981E-10","1238.88","2.57423","250.43","0.00984615","40.5133","6.90677","5776.59","5.74034","-80.1429","0.00109401","1.19006E-05",0,3,"CC1=CCC(C=CCC(=CCC1)C)(C)C",0,5281520,287,1,0,3,204.18780077,0,0,15,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3/b11-6+,13-7+,14-10+","C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C","(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene","C15H24",204.35,204.18780077,0,0,0,0,4.5
"1221","Indigo InChIKey","Camphene","CRPUJAZIXJMDBK-UHFFFAOYSA-N","CC1(C)C2CCC(C2)C1=C","InChI=1/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3","C10H16","136.1252005","CC1(C)C2CCC(C2)C1=C","CC1(C)C2CCC(C2)C1=C","540.754","155.068","3.91742E-05","0.875","0.776","2.89068E-05","37.914","51.243","-","0.0363078","28.742","111.855","0.000210863","1.43219","5.39511","0.000100693","5.33254E-11","947.968","4.73389","159.16","0.0602424","9.09149","4.47666","2663.67","4.21778","52.2012","2.5268","3.28699E-05",2,0,"CC1(C2CCC(C2)C1=C)C",0,6616,177,1,0,0,136.12520052,0,0,10,"InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3","CC1(C2CCC(C2)C1=C)C","2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane","C10H16",136.23,136.12520052,0,0,2,0,3.3
"1226","InChIKey","Ampelopsin","KJXSIXMJHKAJOD-LSDHHAIUSA-N","O[C@@H]1[C@H](OC2=CC(O)=CC(O)=C2C1=O)C1=CC(O)=C(O)C(O)=C1","InChI=1S/C15H12O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,14-20,22H/t14-,15+/m0/s1","C15H12O8","320.0532173","OC1C(Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1","OC1C(Oc2cc(O)cc(O)c2C1=O)c1cc(O)c(O)c(O)c1","0.794328","513.839","1.27938E-05","1.804","0.627","3.03389E-06","309.005","285.818","0.621","0.00260016","-","-","3.72392E-05","-","7.99834E-11","0.00387258","1.71428E-11","2.16029","76.3243","371.093","1.77463E-11","0.160139","9.51947","218.44","1.27862","267.592","2.68035E-10","0.00228943",2,0,"C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O",0,161557,445,1,2,0,320.05321734,8,6,23,"InChI=1S/C15H12O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,14-20,22H/t14-,15+/m0/s1","C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O","(2R,3R)-3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)-2,3-dihydrochromen-4-one","C15H12O8",320.25,320.05321734,1,148,0,0,1.1
"1410","InChIKey","(+)-Taxifolin","CXQWRCVTCMQVQX-LSDHHAIUSA-N","O[C@@H]1[C@H](OC2=C(C(O)=CC(O)=C2)C1=O)C1=CC(O)=C(O)C=C1","InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14-,15+/m0/s1","C15H12O7","304.0583027","OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC(O)=C(O)C=C1","OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC(O)=C(O)C=C1","1.71791","487.241","1.59221E-05","1.737","0.673","3.90841E-06","292.152","300.028","0.722","0.00291743","-","-","0.000041115","-","7.19449E-11","0.00378443","1.70316E-11","2.129","71.5951","375.775","1.70092E-11","0.161653","9.47412","260.018","0.950616","291.029","3.00139E-10","0.00208419",2,0,"C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O",0,439533,428,1,2,0,304.05830272,7,5,22,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14-,15+/m0/s1","C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O","(2R,3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one","C15H12O7",304.25,304.05830272,1,127,0,0,1.5
"1429","InChIKey","3,3',4,4',5',7-Hexahydro-2-phenyl-4H-chromen-4-one","IKMDFBPHZNJCSN-UHFFFAOYSA-N","OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C(O)=C1","InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H","C15H10O8","318.0375673","OC1=CC2=C(C(O)=C1)C(=O)C(=O)C(O2)C1=CC(O)=C(O)C(O)=C1","OC1=CC2=C(C(O)=C1)C(=O)C(=O)C(O2)C1=CC(O)=C(O)C(O)=C1","5.97035","526.091","9.16221E-06","1.808","0.548","1.72982E-06","275.061","336.507","0.789","0.00512861","-","-","0.00012942","-","9.2683E-12","0.00131826","1.75479E-11","2.0985","44.7666","377.767","1.53641E-11","0.159443","9.47942","387.439","1.44346","356.914","4.419E-09","0.00228176",0,0,"C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O",0,5281672,506,1,0,0,318.03756728,8,6,23,"InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H","C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O","3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one","C15H10O8",318.23,318.03756728,1,148,0,0,1.2
"1439","InChIKey","Myricitrin","DCYOADKBABEMIQ-OWMUPTOHSA-N","C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O","InChI=1S/C21H20O12/c1-6-14(26)17(29)18(30)21(31-6)33-20-16(28)13-9(23)4-8(22)5-12(13)32-19(20)7-2-10(24)15(27)11(25)3-7/h2-6,14,17-18,21-27,29-30H,1H3/t6-,14-,17+,18+,21-/m0/s1","C21H20O12","464.0954761","CC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O","CC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O","9.95405","678.596","2.36592E-05","1.905","0.66","6.99842E-07","346.494","272.811","0.504","0.00561048","-","-","-","-","1.46893E-14","0.00399945","1.76695E-11","2.57921","145.157","371.829","1.75117E-11","0.143538","9.57392","235.777","1.22228","201.785","1.34011E-09","0.00870509",5,0,"CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O",0,5281673,760,1,5,0,464.09547608,12,8,33,"InChI=1S/C21H20O12/c1-6-14(26)17(29)18(30)21(31-6)33-20-16(28)13-9(23)4-8(22)5-12(13)32-19(20)7-2-10(24)15(27)11(25)3-7/h2-6,14,17-18,21-27,29-30H,1H3/t6-,14-,17+,18+,21-/m0/s1","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O","5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one","C21H20O12",464.4,464.09547608,3,207,0,0,0.5
"1568","InChIKey","Hexadecanoic acid","IPCSVZSSVZVIGE-UHFFFAOYSA-N","CCCCCCCCCCCCCCCC(O)=O","InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)","C16H32O2","256.2402303","CCCCCCCCCCCCCCCC(O)=O","CCCCCCCCCCCCCCCC(O)=O","23.9332","360.169","1.25603E-05","0.9","0.434","2.1677E-06","163.619","58.773","-0.091","0.042462","29.845","154.705","3.47536E-06","21.5278","2.41546E-07","3.58096E-06","1.30485E-11","156.367","8.62236","351.504","4.37601E-09","0.899352","9.9137","1781.65","7.17036","61.6797","3.79491E-07","1.56327E-07",0,0,"CCCCCCCCCCCCCCCC(=O)O",0,985,178,1,0,0,256.24023027,2,1,18,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)","CCCCCCCCCCCCCCCC(=O)O","hexadecanoic acid","C16H32O2",256.42,256.24023027,14,37.3,0,0,6.4
"1591","InChIKey","Sucrose","CZMRCDWAGMRECN-UGDNZRGBSA-N","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1","C12H22O11","342.1162115","OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O","OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O","-","436.688","0.0371535","1.737","0.255","0.00963829","376.118","190.482","-0.031","0.05188","-","-","-","11.5611","1.03992E-10","3.7325","1.64813E-11","2.13722","4.65877","313.105","2.22077E-11","0.143659","9.56621","41.4259","-3.69895","185.507","5.43293E-11","6.10813",9,0,"C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O",0,5988,395,1,9,0,342.11621152,11,8,23,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O","(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","C12H22O11",342.3,342.11621152,5,190,0,0,-3.7
"1687","InChIKey","(2E)-3-(4-Hydroxyphenyl)-2-propenoic acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","OC(=O)\C=C\C1=CC=C(O)C=C1","InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+","C9H8O3","164.0473441","OC(=O)C=CC1=CC=C(O)C=C1","OC(=O)C=CC1=CC=C(O)C=C1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.37119E-11","4.16714","3.5587","270.699","8.03596E-09","0.120437","7.92059","155.024","1.4589","152.137","1.91334E-06","0.28629",0,1,"C1=CC(=CC=C1C=CC(=O)O)O",0,637542,178,1,0,1,164.047344117,3,2,12,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+","C1=CC(=CC=C1/C=C/C(=O)O)O","(E)-3-(4-hydroxyphenyl)prop-2-enoic acid","C9H8O3",164.16,164.047344117,2,57.5,0,0,1.5
"1693","InChIKey","5-Hydroxy-7,8-dimethoxyflavone","IHLSBQVBFDTNTC-UHFFFAOYSA-N","COC1=C(OC)C2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1","InChI=1S/C17H14O5/c1-20-14-9-12(19)15-11(18)8-13(10-6-4-3-5-7-10)22-17(15)16(14)21-2/h3-9,19H,1-2H3","C17H14O5","298.0841236","COC1=C(OC)C2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1","COC1=C(OC)C2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1","47.9733","447.888","3.19154E-05","1.344","0.829","1.86638E-06","212.079","198.303","0.324","0.00043451","-","-","3.97192E-05","47.863","1.39637E-08","0.000258821","1.38193E-11","53.9319","3.35422","371.864","8.67819E-11","0.76064","11.2596","605.974","3.31941","220.516","1.42657E-07","0.000445663",0,0,"COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3)OC",0,188316,440,1,0,0,298.08412355,5,1,22,"InChI=1S/C17H14O5/c1-20-14-9-12(19)15-11(18)8-13(10-6-4-3-5-7-10)22-17(15)16(14)21-2/h3-9,19H,1-2H3","COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3)OC","5-hydroxy-7,8-dimethoxy-2-phenylchromen-4-one","C17H14O5",298.29,298.08412355,3,65,0,0,3.3
"1699","InChIKey","4-[4-(4-Hydroxy-3,5-dimethoxyphenyl)tetrahydro-1H,3H-furo[3,4-c]furan-1-yl]-2,6-dimethoxyphenyl hexopyranoside","WEKCEGQSIIQPAQ-IRBNZIFYSA-N","[H][C@]12CO[C@]([H])(C3=CC(OC)=C(O[C@]4([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]4([H])O)C(OC)=C3)[C@@]1([H])CO[C@]2([H])C1=CC(OC)=C(O)C(OC)=C1","InChI=1S/C28H36O13/c1-34-16-5-12(6-17(35-2)21(16)30)25-14-10-39-26(15(14)11-38-25)13-7-18(36-3)27(19(8-13)37-4)41-28-24(33)23(32)22(31)20(9-29)40-28/h5-8,14-15,20,22-26,28-33H,9-11H2,1-4H3/t14-,15-,20+,22+,23-,24+,25+,26+,28-/m0/s1","C28H36O13","580.2155912","COC1=CC(=CC(OC)=C1O)C1OCC2C1COC2C1=CC(OC)=C(OC2OC(CO)C(O)C(O)C2O)C(OC)=C1","COC1=CC(=CC(OC)=C1O)C1OCC2C1COC2C1=CC(OC)=C(OC2OC(CO)C(O)C(O)C2O)C(OC)=C1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.90644E-11","4.17012","12.3961","393.176","1.38187E-11","0.217342","9.51503","32519.1","1.49225","191.234","1.49365E-09","0.00489251",9,0,"COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)OC5C(C(C(C(O5)CO)O)O)O)OC",0,443024,807,1,9,0,580.21559122,13,5,41,"InChI=1S/C28H36O13/c1-34-16-5-12(6-17(35-2)21(16)30)25-14-10-39-26(15(14)11-38-25)13-7-18(36-3)27(19(8-13)37-4)41-28-24(33)23(32)22(31)20(9-29)40-28/h5-8,14-15,20,22-26,28-33H,9-11H2,1-4H3/t14-,15-,20+,22+,23-,24+,25+,26+,28-/m0/s1","COC1=CC(=CC(=C1O)OC)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C(=C4)OC)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC","(2S,3R,4S,5S,6R)-2-[4-[(3S,3aR,6S,6aR)-3-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2,6-dimethoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","C28H36O13",580.6,580.21559122,9,175,0,0,0.4
