INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,IUPAC_NAME,QSAR_READY_SMILES,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED
WEEGYLXZBRQIMU-UHFFFAOYSA-N,InChIKey,DTXSID4020616,"1,8-Cineol",DTXCID60616,470-82-6,"1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane",CC12CCC(CC1)C(C)(C)O2,59.9791,181.884,0.000166341,0.88,0.632,0.000805378,49.312,11.564,0.113,0.0053827,27.55,109.58,0.000776247,2.90402,1.00462,0.00818465
KGEKLUUHTZCSIP-UHFFFAOYSA-N,Indigo InChIKey,DTXSID80859098,"acetic acid, 1,7,7-trimethyl-bicyclo[2.2.1]hept-2-yl ester",DTXCID90209787,92618-89-8,"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-yl acetate",[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C,66.2216,221.153,1.11E-05,0.959,0.715,0.000203236,89.527,52.987,0.028,0.0154525,30.558,116.092,0.000276058,8.10961,0.0583445,0.0022751
DSSYKIVIOFKYAU-UHFFFAOYSA-N,Indigo InChIKey,DTXSID5030955,Camphor,DTXCID3010955,76-22-2,"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",CC1(C)C2CCC1(C)C(=O)C2,55.7186,203.784,0.000118032,0.963,0.94,0.000677641,65.146,140.676,-0.018,0.00988553,32.681,118.555,0.000545758,1.34896,0.214289,0.0111944
IECBDTGWSQNQID-UHFFFAOYSA-N,Indigo InChIKey,DTXSID80894868,Chrysanthenone,DTXCID201011133,473-06-3,"2,7,7-Trimethylbicyclo[3.1.1]hept-2-en-6-one",CC1=CCC2C(=O)C1C2(C)C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IRZWAJHUWGZMMT-UHFFFAOYSA-N,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MDFQXBNVOAKNAY-BBBLOLIVSA-N,InChIKey,DTXSID90883208,"(1S,3R,5S)-4-Methylene-1-(1-methylethyl)bicyclo[3.1.0]hexan-3-ol",DTXCID201022756,471-16-9,"(1S,3R,5S)-4-Methylidene-1-(propan-2-yl)bicyclo[3.1.0]hexan-3-ol",CC(C)C12CC1C(=C)C(O)C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WRYLYDPHFGVWKC-UHFFFAOYSA-N,Indigo InChIKey,DTXSID4044824,4-Methyl-1-(propan-2-yl)cyclohex-3-en-1-ol,DTXCID2024824,562-74-3,4-Methyl-1-(propan-2-yl)cyclohex-3-en-1-ol,CC(C)C1(O)CCC(C)=CC1,13.5831,223.378,0.000191867,0.925,0.88,0.00012106,87.254,63.211,0.002,0.0126183,30.544,131.079,0.00135207,6.98232,0.069024,0.00877001
WEEGYLXZBRQIMU-UHFFFAOYSA-N,InChIKey,DTXSID4020616,"1,8-Cineol",DTXCID60616,470-82-6,"1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane",CC12CCC(CC1)C(C)(C)O2,59.9791,181.884,0.000166341,0.88,0.632,0.000805378,49.312,11.564,0.113,0.0053827,27.55,109.58,0.000776247,2.90402,1.00462,0.00818465
NPNUFJAVOOONJE-FLFDDASRSA-N,InChIKey,DTXSID10881246,Isocaryophyllene,DTXCID401474828,118-65-0,"(1R,4Z,9S)-4,11,11-Trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",CC1=CCCC(=C)C2CC(C)(C)C2CC1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DSSYKIVIOFKYAU-UHFFFAOYSA-N,Indigo InChIKey,DTXSID5030955,Camphor,DTXCID3010955,76-22-2,"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",CC1(C)C2CCC1(C)C(=O)C2,55.7186,203.784,0.000118032,0.963,0.94,0.000677641,65.146,140.676,-0.018,0.00988553,32.681,118.555,0.000545758,1.34896,0.214289,0.0111944
CDOSHBSSFJOMGT-UHFFFAOYSA-N,Indigo InChIKey,DTXSID7025502,Linalool,DTXCID305502,78-70-6,"3,7-Dimethylocta-1,6-dien-3-ol",CC(C)=CCCC(C)(O)C=C,13.8038,206.399,4.88E-05,0.843,0.878,7.10E-05,76.963,0.74,-0.02,0.0106414,25.51,136.976,0.000632412,3.8815,0.0588844,0.00739605
